record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9720884,30995,C00826784,FD
E,9720887,30996,20225043929,CO
E,9720892,30997,1455754,CA
E,9720905,30998,1455754,CA
E,9720919,30999,238120,NY
E,9720980,31002,79227,FL
E,9721001,31003,STA-WMH93G-C-001,NC
E,9721003,31004,217154,NY
E,9721134,31005,85374,TX
E,9721151,31007,C222273,MO
E,9721163,31008,981470,CA
E,9721186,31009,00087104,TX
E,9721207,31010,1455007,CA
E,9721329,31011,PAC-22-14,AZ
E,9721355,31013,C190927,MO
E,9721366,31014,500133,WI
E,9721367,31015,900026,WI
E,9721368,31016,1450662,CA
E,9721375,31025,870138,CA
E,9721385,31026,1455893,CA
E,9721402,31029,81096,MA
E,9721404,31030,T0000017344Q2014,NJ
E,9721404,31031,A20071,NY
E,9721415,31442,1221924,CA
E,9721416,31033,1415178,CA
E,9721423,31034,Pending,CA
E,9721424,31035,1456005,CA
E,9721450,31036,980470,CA
E,9721453,31037,1442937,CA
E,9721455,31038,1449159,CA
E,9721457,31039,87038,TX
E,9721461,31040,61110,FL
E,9721463,31042,00087101,TX
E,9721464,31043,901313,CA
E,9721465,31044,1455807,CA
E,9721471,31045,C211693,MO
E,9721475,31046,C00825166,FD
E,9721477,31047,C221843,MO
E,9721488,31048,C00828228,FD
E,9721503,31049,341445,NM
E,9721505,31051,58-0979897,GA
E,9721527,31052,00087133,TX
